"Road_Type,Frequency,Severity,Weather,Night,Visibility,Risk_Index"
"Highway,0.5156369954341591,1.0000000000000004,1.0,0.8470780298103344,0.676486080599517,0.8236195613900418"
"Junction,0.0,0.004989852376590775,0.0,1.0,1.0,0.25174644833180676"
"Other,1.0,0.1090602479802616,0.8594163745366652,0.6064640246875728,0.0,0.5080531466767272"
"Urban,0.5032728595094752,0.0,0.989494671759696,0.0,0.5704827565295147,0.3312906912942747"
