"Road_Type,Frequency,Severity,Weather,Night,Visibility"
"Highway,0.2554,2.806538762725137,0.06579874706342992,0.25554032889584966,0.10798180222154481"
"Junction,0.00017,2.235294117647059,0.0,0.2647058823529412,0.10819672131147541"
"Other,0.49515,2.295041906492982,0.056548520650307986,0.2411188528728668,0.10753239413096684"
"Urban,0.24928,2.2324293966623876,0.06510750962772785,0.20476973684210525,0.10791138133214086"
